cbsa15,cbsaname15,pop_acs16,median_age,in_migration_from_diff_msa,per_capita_income,aggr_income_billion,percent_in_labor_force,percent_employed,income_above_poverty_line,households_not_receiving_food_stamp_snap,bachelors_degree_or_higher,internet_subscription,broadband_subscription,research_universities,male_female_ratio,gmp_billion_usd,cagr01to15,cagr10to15,inc5000_count,inc5000_per1M,fortune1000_count,fortune1000_per1M,restaurants_count,restaurants_per10K,gini,patents_count,patents_per10K,fips_state,state_abbr,state_name,census_region,lon,lat,unicorns_count,unicorns_per1M
15260,"Brunswick, GA Metro Area",115737,42.1,0.03,25684,2.97,0.59,0.94,0.79,0.83,0.23,0.78,0.65,0,0.87,3.2,0.003335891,-0.003912192,2,17,0,0,100,8.7,0.48,77,7,13,GA,Georgia,South,-81.555633,31.23975,0,0
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1132804,40.7,0.02,30777,34.86,0.61,0.95,0.86,0.85,0.34,0.81,0.68,1,0.94,50,0.010283675,0.007898045,56,49,8,7,939,8.3,0.46,4336,38,36,NY,New York,Northeast,-78.803923,42.936227,0,0
15500,"Burlington, NC Metro Area",159688,39.9,0.04,24888,3.97,0.63,0.95,0.83,0.83,0.23,0.79,0.64,0,0.91,4.5,-0.000516843,0.006829333,2,13,2,13,114,7.3,0.46,253,16,37,NC,North Carolina,South,-79.414201,36.071263,0,0
15540,"Burlington-South Burlington, VT Metro Area",217411,38.3,0.04,34511,7.5,0.69,0.96,0.9,0.9,0.45,0.86,0.77,1,0.98,11.7,0.01950651,0.010559558,15,69,0,0,203,9.4,0.44,6263,290,50,VT,Vermont,Northeast,-73.119038,44.57247,0,0
15680,"California-Lexington Park, MD Metro Area",112587,35.9,0.06,34694,3.91,0.66,0.97,0.9,0.87,0.26,0.78,0.64,0,0.96,5.4,0.022358404,0.004210911,5,45,0,0,66,6,0.4,0,0,24,MD,Maryland,South,-76.578976,38.307327,0,0
15940,"Canton-Massillon, OH Metro Area",401281,41.9,0.02,27479,11.03,0.63,0.94,0.87,0.87,0.25,0.83,0.68,0,0.95,16,0.009981531,0.039962821,8,20,3,7,273,6.8,0.44,2161,54,39,OH,Ohio,Midwest,-81.367724,40.820707,0,0
15980,"Cape Coral-Fort Myers, FL Metro Area",722336,48.2,0.06,29775,21.51,0.53,0.94,0.87,0.9,0.26,0.82,0.68,0,0.96,22.7,0.01554084,0.030427663,20,29,9,13,553,8.1,0.48,766,11,12,FL,Florida,South,-81.858159,26.574993,0,0
16020,"Cape Girardeau, MO-IL Metro Area",94806,37.5,0.05,26109,2.48,0.59,0.94,0.82,0.87,0.28,0.83,0.54,0,0.93,3.4,0.009058512,-0.005412329,0,0,0,0,80,8.2,0.46,86,9,29,MO,Missouri,Midwest,-89.629537,37.334373,0,0
16060,"Carbondale-Marion, IL Metro Area",126430,36.7,0.04,24232,3.06,0.56,0.93,0.81,0.82,0.31,0.77,0.52,1,1.01,4.4,0.015368343,0.00820542,1,8,0,0,97,7.7,0.49,0,0,17,IL,Illinois,Midwest,-89.117281,37.751925,0,0
16180,"Carson City, NV Metro Area",54742,41.5,0.07,26358,1.44,0.58,0.93,0.89,0.88,0.21,0.86,0.7,0,0.99,2.7,0.00250032,-0.004115366,1,18,0,0,51,9.4,0.45,70,13,32,NV,Nevada,West,-119.753712,39.166135,0,0
